,period_end,dni
470,2023-04-18T21:30:00Z,0
471,2023-04-18T22:00:00Z,13
472,2023-04-18T22:30:00Z,87
473,2023-04-18T23:00:00Z,149
474,2023-04-18T23:30:00Z,177
475,2023-04-19,196
476,2023-04-19T00:30:00Z,202
477,2023-04-19T01:00:00Z,188
478,2023-04-19T01:30:00Z,167
479,2023-04-19T02:00:00Z,139
480,2023-04-19T02:30:00Z,114
481,2023-04-19T03:00:00Z,91
482,2023-04-19T03:30:00Z,71
483,2023-04-19T04:00:00Z,52
484,2023-04-19T04:30:00Z,38
485,2023-04-19T05:00:00Z,40
486,2023-04-19T05:30:00Z,34
487,2023-04-19T06:00:00Z,2
488,2023-04-19T06:30:00Z,0
489,2023-04-19T07:00:00Z,0
490,2023-04-19T07:30:00Z,0
491,2023-04-19T08:00:00Z,0
492,2023-04-19T08:30:00Z,0
493,2023-04-19T09:00:00Z,0
494,2023-04-19T09:30:00Z,0
495,2023-04-19T10:00:00Z,0
496,2023-04-19T10:30:00Z,0
497,2023-04-19T11:00:00Z,0
498,2023-04-19T11:30:00Z,0
499,2023-04-19T12:00:00Z,0
500,2023-04-19T12:30:00Z,0
501,2023-04-19T13:00:00Z,0
502,2023-04-19T13:30:00Z,0
503,2023-04-19T14:00:00Z,0
504,2023-04-19T14:30:00Z,0
505,2023-04-19T15:00:00Z,0
506,2023-04-19T15:30:00Z,0
507,2023-04-19T16:00:00Z,0
508,2023-04-19T16:30:00Z,0
509,2023-04-19T17:00:00Z,0
510,2023-04-19T17:30:00Z,0
511,2023-04-19T18:00:00Z,0
512,2023-04-19T18:30:00Z,0
513,2023-04-19T19:00:00Z,0
514,2023-04-19T19:30:00Z,0
515,2023-04-19T20:00:00Z,0
516,2023-04-19T20:30:00Z,0
517,2023-04-19T21:00:00Z,0
518,2023-04-19T21:30:00Z,0
519,2023-04-19T22:00:00Z,0
520,2023-04-19T22:30:00Z,0
521,2023-04-19T23:00:00Z,0
522,2023-04-19T23:30:00Z,0
523,2023-04-20,0
524,2023-04-20T00:30:00Z,0
525,2023-04-20T01:00:00Z,0
526,2023-04-20T01:30:00Z,0
527,2023-04-20T02:00:00Z,0
528,2023-04-20T02:30:00Z,0
529,2023-04-20T03:00:00Z,0
530,2023-04-20T03:30:00Z,0
531,2023-04-20T04:00:00Z,0
532,2023-04-20T04:30:00Z,0
533,2023-04-20T05:00:00Z,0
534,2023-04-20T05:30:00Z,0
535,2023-04-20T06:00:00Z,0
536,2023-04-20T06:30:00Z,0
537,2023-04-20T07:00:00Z,0
538,2023-04-20T07:30:00Z,0
539,2023-04-20T08:00:00Z,0
540,2023-04-20T08:30:00Z,0
541,2023-04-20T09:00:00Z,0
542,2023-04-20T09:30:00Z,0
543,2023-04-20T10:00:00Z,0
544,2023-04-20T10:30:00Z,0
545,2023-04-20T11:00:00Z,0
546,2023-04-20T11:30:00Z,0
547,2023-04-20T12:00:00Z,0
548,2023-04-20T12:30:00Z,0
